Ort;Art;Funk
Ludwigshafen/BG;RTW;LU 01/83-01
Ludwigshafen;RTW-STW;LU 01/83-02
Ludwigshafen;RTW;LU 01/83-03
Ludwigshafen;RTW;LU 01/83-04
Ludwigshafen;KTW;LU 01/85-01
Ludwigshafen;KTW;LU 01/85-02
Ludwigshafen;KTW;LU 01/85-03
Ludwigshafen;KTW;LU 01/85-04
Ludwigshafen;KTW;LU 01/85-05
Ludwigshafen-KH;NEF;LU 02/82-01
Frankenthal;NEF;LU 11/82-01
Frankenthal;RTW;LU 11/83-01
Frankenthal;RTW;LU 11/83-02
Frankenthal;KTW;LU 11/85-01
Frankenthal;KTW;LU 11/85-02
Frankenthal;KTW;LU 11/85-03
Mutterstadt;NEF;LU 22/82-01
Mutterstadt/BG;NEF;LU 22/82-51
Mutterstadt;RTW;LU 21/83-04
Mutterstadt;NKTW;LU 21/84-01
Mutterstadt;KTW;LU 21/85-01
Schifferstadt;RTW;LU 23/83-01
Schifferstadt;NKTW;LU 23/84-01
Schifferstadt;KTW;LU 23/85-01
Speyer;NEF;LU 31/82-01
Speyer;RTW;LU 31/83-01
Speyer;RTW;LU 31/83-02
Speyer;KTW;LU 31/85-01
Speyer;KTW;LU 31/85-02
Speyer;KTW;LU 31/85-03
Speyer;KTW;LU 31/85-04
Grünstadt;NEF;LU 42/82-01
Grünstadt;RTW;LU 42/83-01
Grünstadt;KTW;LU 42/85-01
Grünstadt;KTW;LU 42/85-02
Bad Dürkheim;NEF;LU 43/82-01
Bad Dürkheim;RTW;LU 43/83-01
Bad Dürkheim;RTW;LU 43/83-02
Bad Dürkheim;KTW;LU 43/85-01
Bad Dürkheim;KTW;LU 43/85-02
Bad Dürkheim;KTW;LU 43/85-03
Haßloch;RTW;LU 44/83-01
Haßloch;KTW;LU 44/85-01
Neustadt;NEF;LU 51/82-01
Neustadt;RTW;LU 51/83-01
Neustadt;RTW;LU 51/83-02
Neustadt;KTW;LU 51/85-01
Neustadt;KTW;LU 51/85-02
Neustadt;KTW;LU 51/85-03
Lambrecht;NEF;LU 45/82-01
Lambrecht;RTW;LU 46/83-01
Lambrecht;NKTW;LU 46/84-01
